t (s), a, T (GK), Tnu (GK), photons, baryons, neutrinos, phi (GeV^4), Y(n), Y(p), Y(2H), Y(4He), Y(7Li), eta
9.47098e-02,1.04082e-10,2.07431e+01,2.07301e+01,6.71730e-12,2.16183e-18,1.78583e-11,0.00000e+00,3.35262e-01,6.64738e-01,8.72270e-13,1.00000e-30,1.00000e-30,1.66819e-09
9.93378e-02,1.05117e-10,2.05388e+01,2.05252e+01,6.45650e-12,2.09833e-18,1.71627e-11,0.00000e+00,3.33956e-01,6.66044e-01,8.68338e-13,1.00000e-30,1.00000e-30,1.66800e-09
1.04059e-01,1.06161e-10,2.03364e+01,2.03223e+01,6.20583e-12,2.03669e-18,1.64942e-11,0.00000e+00,3.32646e-01,6.67354e-01,8.64505e-13,1.00000e-30,1.00000e-30,1.66781e-09
1.08875e-01,1.07216e-10,2.01361e+01,2.01215e+01,5.96489e-12,1.97686e-18,1.58517e-11,0.00000e+00,3.31332e-01,6.68668e-01,8.60773e-13,1.00000e-30,1.00000e-30,1.66762e-09
1.13788e-01,1.08282e-10,1.99378e+01,1.99226e+01,5.73330e-12,1.91879e-18,1.52342e-11,0.00000e+00,3.30014e-01,6.69986e-01,8.57140e-13,1.00000e-30,1.00000e-30,1.66742e-09
1.18800e-01,1.09359e-10,1.97414e+01,1.97256e+01,5.51071e-12,1.86241e-18,1.46406e-11,0.00000e+00,3.28692e-01,6.71308e-01,8.53607e-13,1.00000e-30,1.00000e-30,1.66721e-09
1.23913e-01,1.10446e-10,1.95469e+01,1.95306e+01,5.29676e-12,1.80769e-18,1.40702e-11,0.00000e+00,3.27367e-01,6.72633e-01,8.50174e-13,1.00000e-30,1.00000e-30,1.66701e-09
1.29129e-01,1.11544e-10,1.93543e+01,1.93375e+01,5.09111e-12,1.75457e-18,1.35219e-11,0.00000e+00,3.26038e-01,6.73962e-01,8.46840e-13,1.00000e-30,1.00000e-30,1.66679e-09
1.34450e-01,1.12653e-10,1.91637e+01,1.91463e+01,4.89345e-12,1.70301e-18,1.29950e-11,0.00000e+00,3.24706e-01,6.75294e-01,8.43606e-13,1.00000e-30,1.00000e-30,1.66658e-09
1.39879e-01,1.13773e-10,1.89749e+01,1.89570e+01,4.70346e-12,1.65295e-18,1.24886e-11,0.00000e+00,3.23371e-01,6.76629e-01,8.40471e-13,1.00000e-30,1.00000e-30,1.66636e-09
1.45416e-01,1.14904e-10,1.87880e+01,1.87695e+01,4.52085e-12,1.60437e-18,1.20018e-11,0.00000e+00,3.22033e-01,6.77967e-01,8.37437e-13,1.00000e-30,1.00000e-30,1.66614e-09
1.51065e-01,1.16047e-10,1.86029e+01,1.85838e+01,4.34533e-12,1.55721e-18,1.15340e-11,0.00000e+00,3.20693e-01,6.79307e-01,8.34502e-13,1.00000e-30,1.00000e-30,1.66591e-09
1.56828e-01,1.17201e-10,1.84197e+01,1.84000e+01,4.17663e-12,1.51143e-18,1.10844e-11,0.00000e+00,3.19350e-01,6.80650e-01,8.31667e-13,1.00000e-30,1.00000e-30,1.66567e-09
1.62708e-01,1.18367e-10,1.82382e+01,1.82180e+01,4.01447e-12,1.46699e-18,1.06522e-11,0.00000e+00,3.18006e-01,6.81994e-01,8.28933e-13,1.00000e-30,1.00000e-30,1.66544e-09
1.68705e-01,1.19545e-10,1.80586e+01,1.80378e+01,3.85861e-12,1.42386e-18,1.02369e-11,0.00000e+00,3.16659e-01,6.83341e-01,8.26299e-13,1.00000e-30,1.00000e-30,1.66519e-09
1.74824e-01,1.20734e-10,1.78807e+01,1.78593e+01,3.70880e-12,1.38199e-18,9.83775e-12,0.00000e+00,3.15310e-01,6.84690e-01,8.23766e-13,1.00000e-30,1.00000e-30,1.66495e-09
1.81066e-01,1.21935e-10,1.77045e+01,1.76826e+01,3.56481e-12,1.34135e-18,9.45411e-12,0.00000e+00,3.13960e-01,6.86040e-01,8.21334e-13,1.00000e-30,1.00000e-30,1.66470e-09
1.87434e-01,1.23149e-10,1.75301e+01,1.75076e+01,3.42641e-12,1.30190e-18,9.08539e-12,0.00000e+00,3.12608e-01,6.87392e-01,8.19004e-13,1.00000e-30,1.00000e-30,1.66444e-09
1.93930e-01,1.24374e-10,1.73574e+01,1.73343e+01,3.29338e-12,1.26360e-18,8.73102e-12,0.00000e+00,3.11255e-01,6.88745e-01,8.16775e-13,1.00000e-30,1.00000e-30,1.66418e-09
2.00558e-01,1.25612e-10,1.71865e+01,1.71627e+01,3.16552e-12,1.22643e-18,8.39044e-12,0.00000e+00,3.09901e-01,6.90099e-01,8.14649e-13,1.00000e-30,1.00000e-30,1.66391e-09
2.07319e-01,1.26863e-10,1.70172e+01,1.69929e+01,3.04262e-12,1.19035e-18,8.06311e-12,0.00000e+00,3.08547e-01,6.91453e-01,8.12625e-13,1.00000e-30,1.00000e-30,1.66364e-09
2.14217e-01,1.28126e-10,1.68495e+01,1.68246e+01,2.92450e-12,1.15533e-18,7.74852e-12,0.00000e+00,3.07192e-01,6.92808e-01,8.10705e-13,1.00000e-30,1.00000e-30,1.66336e-09
2.21253e-01,1.29401e-10,1.66836e+01,1.66580e+01,2.81096e-12,1.12133e-18,7.44617e-12,0.00000e+00,3.05836e-01,6.94164e-01,8.08889e-13,1.00000e-30,1.00000e-30,1.66308e-09
2.28432e-01,1.30690e-10,1.65192e+01,1.64931e+01,2.70183e-12,1.08833e-18,7.15559e-12,0.00000e+00,3.04481e-01,6.95519e-01,8.07178e-13,1.00000e-30,1.00000e-30,1.66279e-09
2.35756e-01,1.31991e-10,1.63565e+01,1.63298e+01,2.59693e-12,1.05629e-18,6.87631e-12,0.00000e+00,3.03125e-01,6.96875e-01,8.05572e-13,1.00000e-30,1.00000e-30,1.66250e-09
2.43228e-01,1.33306e-10,1.61954e+01,1.61680e+01,2.49611e-12,1.02520e-18,6.60791e-12,0.00000e+00,3.01770e-01,6.98230e-01,8.04072e-13,1.00000e-30,1.00000e-30,1.66220e-09
2.50851e-01,1.34634e-10,1.60358e+01,1.60079e+01,2.39920e-12,9.95020e-19,6.34995e-12,0.00000e+00,3.00415e-01,6.99585e-01,8.02678e-13,1.00000e-30,1.00000e-30,1.66189e-09
2.58628e-01,1.35975e-10,1.58779e+01,1.58493e+01,2.30606e-12,9.65724e-19,6.10204e-12,0.00000e+00,2.99061e-01,7.00939e-01,8.01393e-13,1.00000e-30,1.00000e-30,1.66158e-09
